,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
531,900.0,2,1.0,Semi-Furnished,"Sitaram Bazar, Chandni Chowk",1.0,6200000,Ready_to_move,New_Property,Builder_Floor,6667.0
82,1560.0,3,2.0,Furnished,"Ashoka Apartments, Dwarka Sector 12",2.0,15800000,Ready_to_move,Resale,Apartment,3524.0
467,1300.0,3,3.0,Semi-Furnished,"DDA Flats Sector E Pocket 1, Vasant Kunj",1.0,21900000,Ready_to_move,Resale,Apartment,20833.0
971,950.0,2,2.0,Unfurnished,Vasundhara Enclave,114.0,8100000,Ready_to_move,Resale,Apartment,
758,700.0,2,2.0,Semi-Furnished,Sultanpur Extension,1.0,2600000,Ready_to_move,Resale,Builder_Floor,3714.0
351,630.0,3,2.0,Furnished,"Yamuna Vihar, Shahdara",1.0,22500000,Ready_to_move,Resale,Builder_Floor,35714.0
489,540.0,2,2.0,Semi-Furnished,"Kushwaha Homes, Uttam Nagar",1.0,3300000,Ready_to_move,New_Property,Apartment,6111.0
879,50.0,1,1.0,Unfurnished,"DDA Lig Flats, Narela",39.0,3500000,Ready_to_move,New_Property,Apartment,5128.0
751,1000.0,3,3.0,Semi-Furnished,Sultanpur Extension,1.0,5500000,Ready_to_move,New_Property,Apartment,
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor,15556.0
918,2000.0,4,4.0,Semi-Furnished,Malviya Nagar,2.0,36000000,Ready_to_move,New_Property,Builder_Floor,14888.0
249,4800.0,3,4.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",1.0,85000000,Ready_to_move,Resale,Builder_Floor,15459.0
762,800.0,2,2.0,Semi-Furnished,Sultanpur,1.0,5000000,Almost_ready,Resale,Builder_Floor,3714.0
263,4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,70000000,Ready_to_move,Resale,Builder_Floor,23529.0
520,1750.0,4,4.0,Unfurnished,Vasant Kunj Sector C,1.0,29000000,Ready_to_move,New_Property,Apartment,6667.0
271,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,47500000,Ready_to_move,New_Property,Builder_Floor,
656,1700.0,3,2.0,Furnished,"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1.0,16500000,Ready_to_move,Resale,Apartment,10700.0
1223,2100.0,4,5.0,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",1.0,56000000,Ready_to_move,New_Property,Builder_Floor,17677.0
122,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor,
992,450.0,1,1.0,Semi-Furnished,"Batla House, Okhla",1.0,1700000,Ready_to_move,New_Property,Builder_Floor,25512.0
1056,1250.0,2,2.0,Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2.0,15000000,Ready_to_move,Resale,Apartment,
1010,540.0,2,1.0,Unfurnished,"Zakir Nagar, New Friends Colony",2.0,1500000,Ready_to_move,Resale,Builder_Floor,2778.0
737,1050.0,2,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2.0,12700000,Ready_to_move,Resale,Apartment,
459,1100.0,2,2.0,Unfurnished,Vasant Kunj,1.0,15500000,Ready_to_move,Resale,Apartment,15500.0
969,900.0,2,2.0,Unfurnished,"Mangal Apartment, Vasundhara Enclave",114.0,9000000,Ready_to_move,Resale,Apartment,
783,950.0,3,2.0,Semi-Furnished,Chhattarpur,2.0,6990000,Almost_ready,New_Property,Builder_Floor,
569,1800.0,3,3.0,Semi-Furnished,Safdarjung Enclave,,37500000,Ready_to_move,New_Property,Builder_Floor,
601,1710.0,3,3.0,Unfurnished,"Pushkar Enclave, Paschim Vihar",1.0,22000000,Ready_to_move,Resale,Builder_Floor,
1111,1800.0,4,4.0,Unfurnished,Punjabi Bagh West,2.0,45500000,Almost_ready,New_Property,Builder_Floor,
743,1500.0,3,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2.0,13600000,Ready_to_move,Resale,Apartment,
395,500.0,2,2.0,Semi-Furnished,Dwarka Mor,1.0,3200000,Ready_to_move,New_Property,Builder_Floor,6111.0
97,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,31500000,Ready_to_move,Resale,Builder_Floor,
442,1800.0,3,3.0,Unfurnished,Patel Nagar West,1.0,24000000,Ready_to_move,Resale,Apartment,13333.0
1156,1400.0,2,2.0,Semi-Furnished,Alaknanda,2.0,14000000,Ready_to_move,Resale,Apartment,12500.0
1095,1350.0,3,3.0,Unfurnished,Sheikh Sarai Phase 1,2.0,20000000,Ready_to_move,Resale,Apartment,12307.0
196,2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,17500000,Ready_to_move,New_Property,Apartment,6250.0
669,2650.0,4,5.0,Furnished,Commonwealth Games Village 2010,2.0,52500000,Ready_to_move,Resale,Apartment,19811.0
183,800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment,6875.0
1220,1700.0,3,3.0,Semi-Furnished,"Sarva Priya Apartment, Hauz Khas carpet area 1700 sqft status Ready to Move floor 1 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park society Sarva Priya Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold desperarte sale ,its clear tile, proper cross ventilation ,proper an matter for one week ,crystle sunlight found, and air,ICIC BANK LOAN APPROVAL, good to see , have lucky chance to get such a reraly rare property read more Contact Agent View Phone No. Share Feedback Agent New Capital Properties 1000+ Buyers Served",1.0,36500000,Ready_to_move,Resale,Apartment,25000.0
862,430.0,1,1.0,Unfurnished,Mahavir Enclave,1.0,1850000,Ready_to_move,New_Property,Builder_Floor,3778.0
474,1350.0,3,2.0,Furnished,"DDA Pocket 1, Vasant Kunj Sector D",1.0,24000000,Ready_to_move,New_Property,Apartment,21818.0
654,1000.0,2,2.0,Semi-Furnished,"Kailash Apartments, Aashirwaad Chowk, Dwarka",1.0,10700000,Ready_to_move,Resale,Apartment,10700.0
934,900.0,2,2.0,Furnished,"Dilshad Colony, Dilshad Garden",2.0,6900000,Ready_to_move,Resale,Builder_Floor,7666.0
1157,1500.0,3,3.0,Semi-Furnished,"Project Gangotri Enclave, Alaknanda",2.0,21000000,Ready_to_move,Resale,Apartment,12500.0
175,950.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,7600000,Ready_to_move,New_Property,Builder_Floor,5255.0
1181,1485.0,3,3.0,Unfurnished,"Rishi Apartment, Kalkaji",1.0,30000000,Ready_to_move,Resale,Apartment,
81,2300.0,4,4.0,Furnished,"Mohinder Apartments, Dwarka",1.0,31500000,Ready_to_move,Resale,Apartment,3524.0
267,4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,55000000,Ready_to_move,Resale,Builder_Floor,23529.0
77,1800.0,4,3.0,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1.0,19200000,Ready_to_move,Resale,Apartment,3524.0
780,3600.0,2,2.0,Semi-Furnished,"Chhattarpur carpet area 400 sqyrd status Ready to Move transaction New Property furnishing Semi-Furnished car parking 1 Covered, 1 Open bathroom 2 balcony 1 Newly Constructed Property It's a Ground floor Builder Floor Apartment in a building of total 4 floors. The Builder Floor Apartment is newly constructed. Prime facilities are easily accessible from this place with Oxford Angel Public School (0 km ). Other key neighbourhood are Abdul Gaffar Khan Market (0 km ). read more Contact Agent View Phone No. Share Feedback Home Hunt Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 4 Property Options in Chhattarpur CRISIL Rating Operating Since 2011 No of employees 5 Home Hunt Certified Agent Locality Superstar Chhattarpur 500+ Buyers Served",1.0,4500000,Ready_to_move,New_Property,Builder_Floor,
829,1044.0983,3,2.0,Unfurnished,Mehrauli,1.0,6000000,Ready_to_move,Resale,Builder_Floor,3148.0
766,1600.0,3,3.0,Unfurnished,"New Manglapuri, Sultanpur",1.0,10800000,Ready_to_move,Resale,Builder_Floor,3714.0
1241,2430.0,4,4.0,Furnished,"Chittaranjan Park carpet area 270 sqyrd status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road car parking 5 Open bathroom 4 balcony 3 ownership Freehold 3 Side Open, Fully ventilated, Close to Market, Above Bank and 24 x 7 ATM because of which good security. Elite Neighbor hood. Very good for Rental Income. Also can be used for commercial Office Purpose by Advocates. read more Contact Owner View Phone No. Share Feedback Owner Mayur Mayur Aggarwal",5.0,30000000,Ready_to_move,Resale,Builder_Floor,18333.0
1038,345.0,1,1.0,Semi-Furnished,Karol Bagh,1.0,5500000,Ready_to_move,Resale,Builder_Floor,125984.0
491,1050.0,3,2.0,Unfurnished,"The Elite Spire, Dwarka Sector 21",1.0,3700000,Ready_to_move,New_Property,Apartment,3524.0
88,1150.0,3,2.0,Semi-Furnished,Dwarka Sector 16B,1.0,6800000,Ready_to_move,New_Property,Builder_Floor,3524.0
472,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,3.0,16500000,Ready_to_move,Resale,Apartment,21818.0
553,2025.0,4,3.0,Furnished,Saket,2.0,30500000,Ready_to_move,Resale,Builder_Floor,6944.0
1006,2210.0,4,3.0,Semi-Furnished,"Sukhdev Vihar, Okhla",1.0,41000000,Ready_to_move,Resale,Builder_Floor,10320.0
974,1000.0,2,2.0,Semi-Furnished,"Satyam Apartment, Vasundhara Enclave",1.0,7500000,Ready_to_move,Resale,Apartment,
399,360.0,1,1.0,Semi-Furnished,Uttam Nagar,1.0,1700000,Ready_to_move,New_Property,Builder_Floor,6111.0
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor,15556.0
425,900.0,2,2.0,Furnished,Patel Nagar West,3.0,7400000,Ready_to_move,Resale,Builder_Floor,23840.0
294,4500.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,55000000,Ready_to_move,Resale,Builder_Floor,20930.0
505,1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,13000000,Ready_to_move,New_Property,Builder_Floor,30556.0
552,1674.0,3,3.0,Unfurnished,Saket,1.0,45000000,Ready_to_move,Resale,Builder_Floor,6944.0
1197,1000.0,2,3.0,Semi-Furnished,Kalkaji Extention,1.0,11000000,Ready_to_move,Resale,Apartment,18000.0
2,950.0,2,2.0,Furnished,"Citizen Apartment, Rohini Sector 13",1.0,15500000,Ready_to_move,Resale,Apartment,6667.0
1164,1300.0,2,2.0,Semi-Furnished,"Yamuna Apartment, Alaknanda",1.0,15000000,Ready_to_move,Resale,Apartment,11538.0
338,900.0,2,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",1.0,6500000,Ready_to_move,Resale,Apartment,7222.0
356,675.0,4,3.0,Furnished,"Yamuna Vihar, Shahdara",2.0,16000000,Ready_to_move,Resale,Builder_Floor,22857.0
900,1400.0,3,3.0,Semi-Furnished,"Shivalik, Malviya Nagar",2.0,34000000,Ready_to_move,New_Property,Builder_Floor,
182,720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Ready_to_move,New_Property,Apartment,6528.0
1141,1350.0,3,3.0,Semi-Furnished,"Narmada Apartment, Alaknanda",2.0,21000000,Ready_to_move,Resale,Apartment,
657,1750.0,3,2.0,Furnished,"PNB Employees Apartment, Aashirwaad Chowk, Dwarka",1.0,14900000,Ready_to_move,Resale,Apartment,10700.0
863,550.0,2,2.0,Unfurnished,Mahavir Enclave,1.0,2300000,Ready_to_move,Resale,Builder_Floor,3778.0
775,765.0,3,2.0,Unfurnished,"Manglapuri, Sultanpur",1.0,3700000,Ready_to_move,Resale,Builder_Floor,4837.0
665,2525.0,4,5.0,Semi-Furnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",3.0,43200000,Ready_to_move,Resale,Apartment,21052.0
864,810.0,3,2.0,Furnished,Mahavir Enclave,1.0,3800000,Ready_to_move,Resale,Builder_Floor,42222.0
1016,810.0,2,2.0,Semi-Furnished,"Sukhdev Vihar, Okhla",1.0,14500000,Ready_to_move,Resale,Apartment,5556.0
1231,1600.0,3,3.0,Semi-Furnished,Chittaranjan Park,2.0,33500000,Ready_to_move,New_Property,Builder_Floor,20938.0
239,3510.0,4,4.0,Semi-Furnished,"Friends Colony West, New Friends Colony",2.0,45000000,Ready_to_move,Resale,Builder_Floor,
110,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,20000000,Ready_to_move,Resale,Apartment,20000.0
1024,1332.0,3,2.0,Semi-Furnished,"Beadon Pura, Karol Bagh How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. carpet area 148 sqyrd status Ready to Move floor 3 out of 3 floors transaction Resale furnishing Semi-Furnished bathroom 2 balcony 3 ownership Freehold Contact Now Enquire Now Auction By Bank",1.0,6540000,Ready_to_move,Resale,Builder_Floor,14776.0
506,1600.0,3,3.0,Semi-Furnished,Greater Kailash 1,1.0,30000000,Ready_to_move,New_Property,Builder_Floor,18750.0
1069,1450.0,3,3.0,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2.0,15000000,Ready_to_move,New_Property,Apartment,8889.0
1125,1800.0,3,3.0,Semi-Furnished,Punjabi Bagh,2.0,27500000,Ready_to_move,New_Property,Builder_Floor,11905.0
672,1700.0,3,4.0,Semi-Furnished,Commonwealth Games Village 2010,2.0,40000000,Ready_to_move,Resale,Apartment,17619.0
825,1500.0,3,3.0,Semi-Furnished,"Andheria Mor, Mehrauli",1.0,8400000,Ready_to_move,New_Property,Apartment,8060.0
905,3000.0,4,4.0,Unfurnished,"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",2.0,67000000,Ready_to_move,New_Property,Builder_Floor,14888.0
579,150.0,2,1.0,Semi-Furnished,"Arjun Nagar, Safdarjung Enclave",1.0,2000000,Ready_to_move,Resale,Apartment,14818.0
367,800.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,4500000,Ready_to_move,New_Property,Builder_Floor,7778.0
615,1800.0,4,3.0,Unfurnished,Paschim Vihar Block A2,2.0,23100000,Ready_to_move,Resale,Builder_Floor,14722.0
983,1460.0,3,3.0,Semi-Furnished,"Pawittra Apartment, Vasundhara Enclave",1.0,16500000,Ready_to_move,Resale,Apartment,9655.0
384,312.0,4,4.0,Furnished,"Bank Enclave, Laxmi Nagar",1.0,35000000,Ready_to_move,Resale,Apartment,112179.0
200,700.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Ready_to_move,New_Property,Apartment,6714.0
503,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,1.0,15000000,Ready_to_move,Resale,Apartment,30556.0
65,1500.0,3,2.0,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1.0,17400000,Ready_to_move,Resale,Apartment,3524.0
422,800.0,3,2.0,Unfurnished,Patel Nagar West,1.0,8000000,Ready_to_move,Resale,Builder_Floor,23840.0
583,1600.0,3,3.0,Semi-Furnished,Safdarjung Enclave,2.0,22500000,Ready_to_move,Resale,Builder_Floor,14818.0
833,405.0,1,1.0,Unfurnished,"Andheria Mor, Mehrauli",1.0,1500000,Ready_to_move,Resale,Apartment,3778.0
272,3500.0,5,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",1.0,70000000,Ready_to_move,New_Property,Builder_Floor,20000.0
1092,855.0,3,2.0,Semi-Furnished,"Savitri Nagar Village, Sheikh Sarai",1.0,6500000,Ready_to_move,Resale,Builder_Floor,10556.0
546,3000.0,4,5.0,Semi-Furnished,"Metrotech Builder Floors, Saket",3.0,75000000,Ready_to_move,New_Property,Builder_Floor,28846.0
165,450.0,2,2.0,Furnished,Budh Vihar,1.0,4000000,Ready_to_move,Resale,Builder_Floor,2500.0
784,800.0,2,2.0,Semi-Furnished,Chhattarpur,1.0,4400000,Ready_to_move,New_Property,Apartment,
922,2500.0,4,5.0,Unfurnished,"Geetanjali Enclave, Malviya Nagar",1.0,62500000,Ready_to_move,New_Property,Builder_Floor,7200.0
557,2250.0,4,4.0,Semi-Furnished,Saket,2.0,33700000,Ready_to_move,Resale,Builder_Floor,14705.0
939,1700.0,3,2.0,Furnished,"DDA Flats Block A, Dilshad Garden",1.0,17000000,Ready_to_move,Resale,Apartment,9200.0
921,1300.0,3,3.0,Semi-Furnished,Malviya Nagar,1.0,10000000,Ready_to_move,Resale,Builder_Floor,7200.0
1127,195.0,3,3.0,Semi-Furnished,"Punjabi Bagh Extension, Punjabi Bagh",1.0,28000000,Almost_ready,New_Property,Builder_Floor,11905.0
610,2700.0,4,3.0,Semi-Furnished,"Guru Harikishan Nagar, Paschim Vihar",1.0,42500000,Ready_to_move,Resale,Builder_Floor,14722.0
1210,6500.0,4,5.0,Unfurnished,"Mayfair garden, Hauz Khas",3.0,190000000,Ready_to_move,New_Property,Builder_Floor,170000.0
188,445.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2800000,Ready_to_move,New_Property,Apartment,7931.0
40,1650.0,3,3.0,Semi-Furnished,Lajpat Nagar,1.0,30000000,Ready_to_move,Resale,Builder_Floor,
723,1250.0,3,2.0,Semi-Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2.0,16000000,Ready_to_move,Resale,Apartment,
764,750.0,2,2.0,Semi-Furnished,Sultanpur,1.0,4500000,Almost_ready,Resale,Builder_Floor,3714.0
704,1100.0,2,2.0,Unfurnished,Alaknanda,2.0,15000000,Ready_to_move,Resale,Apartment,12500.0
1014,1260.0,3,2.0,Semi-Furnished,"Abul Fazal Enclave Part 1, Okhla",1.0,7000000,Ready_to_move,Resale,Builder_Floor,5556.0
316,445.0,2,1.0,Unfurnished,"Ram Nagar Extension, Shahdara",1.0,2000000,Ready_to_move,Resale,Builder_Floor,6526.0
214,850.0,2,1.0,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",1.0,1900000,Ready_to_move,New_Property,Apartment,2235.0
1154,1100.0,2,2.0,Unfurnished,Alaknanda,2.0,15000000,Ready_to_move,Resale,Apartment,12500.0
1083,585.0,2,2.0,Semi-Furnished,"Savitri Nagar Village, Sheikh Sarai",1.0,4000000,Ready_to_move,Resale,Builder_Floor,
362,990.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,4000000,Ready_to_move,Resale,Apartment,4040.0
1025,1017.0,3,3.0,Semi-Furnished,"The Amaryllis, Karol Bagh",1.0,22000000,Ready_to_move,New_Property,Apartment,14776.0
260,2000.0,4,4.0,Semi-Furnished,New Friends Colony,3.0,70000000,Ready_to_move,New_Property,Builder_Floor,15459.0
19,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,6000000,Ready_to_move,Resale,Builder_Floor,6154.0
479,4688.0,5,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,135000000,Almost_ready,New_Property,Apartment,28797.0
30,1500.0,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,
512,2250.0,3,2.0,,"Gandhi Nagar, Shahdara",,10000000,Ready_to_move,Resale,,4444.0
895,2077.4327,1,1.0,Unfurnished,"DDA Flats Pocket 3, Narela",1.0,1000000,Ready_to_move,Resale,Builder_Floor,5051.0
1217,1800.0,3,4.0,Semi-Furnished,Hauz Khas,2.0,47000000,Ready_to_move,New_Property,Builder_Floor,18055.0
870,450.0,1,1.0,Furnished,"DDA Flats Pocket 6 Sector A10, Narela",2.0,2200000,Ready_to_move,Resale,Apartment,4889.0
253,4200.0,5,5.0,Semi-Furnished,"Friends Colony East, New Friends Colony",2.0,135500000,Ready_to_move,New_Property,Builder_Floor,15459.0
664,2090.0,3,4.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",2.0,44000000,Ready_to_move,Resale,Apartment,21052.0
822,1080.0,3,3.0,Unfurnished,Mehrauli,5.0,6000000,Ready_to_move,New_Property,Apartment,8060.0
590,1650.0,3,3.0,Semi-Furnished,Safdarjung Enclave,1.0,35000000,Ready_to_move,New_Property,Builder_Floor,14818.0
646,1480.0,3,2.0,Furnished,"Bank Apartments, Aashirwaad Chowk, Dwarka",1.0,15800000,Ready_to_move,Resale,Apartment,
897,990.0,3,2.0,Furnished,Narela,1.0,5000000,Ready_to_move,Resale,Builder_Floor,5051.0
962,1300.0,3,2.0,Semi-Furnished,"Samrat Apartment, Vasundhara Enclave",2.0,11500000,Ready_to_move,Resale,Apartment,
264,1400.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,50000000,Ready_to_move,New_Property,Builder_Floor,23529.0
363,420.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,2600000,Ready_to_move,New_Property,Builder_Floor,4040.0
1134,2340.0,4,4.0,Semi-Furnished,Punjabi Bagh East,1.0,26000000,Ready_to_move,Resale,Builder_Floor,15278.0
101,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,35000000,Ready_to_move,Resale,Builder_Floor,
906,850.0,2,2.0,Unfurnished,Malviya Nagar,2.0,8500000,Ready_to_move,Resale,Builder_Floor,14888.0
